image,label
data/testdata/test1/imgs/16/im16-0.png,data/testdata/test1/masks/16/im16-0.png
data/testdata/test1/imgs/16/im16-1.png,data/testdata/test1/masks/16/im16-1.png
data/testdata/test1/imgs/16/im16-10.png,data/testdata/test1/masks/16/im16-10.png
data/testdata/test1/imgs/16/im16-100.png,data/testdata/test1/masks/16/im16-100.png
data/testdata/test1/imgs/16/im16-101.png,data/testdata/test1/masks/16/im16-101.png
data/testdata/test1/imgs/16/im16-102.png,data/testdata/test1/masks/16/im16-102.png
data/testdata/test1/imgs/16/im16-103.png,data/testdata/test1/masks/16/im16-103.png
data/testdata/test1/imgs/16/im16-104.png,data/testdata/test1/masks/16/im16-104.png
data/testdata/test1/imgs/16/im16-105.png,data/testdata/test1/masks/16/im16-105.png
data/testdata/test1/imgs/16/im16-106.png,data/testdata/test1/masks/16/im16-106.png
data/testdata/test1/imgs/16/im16-107.png,data/testdata/test1/masks/16/im16-107.png
data/testdata/test1/imgs/16/im16-108.png,data/testdata/test1/masks/16/im16-108.png
data/testdata/test1/imgs/16/im16-109.png,data/testdata/test1/masks/16/im16-109.png
data/testdata/test1/imgs/16/im16-11.png,data/testdata/test1/masks/16/im16-11.png
data/testdata/test1/imgs/16/im16-110.png,data/testdata/test1/masks/16/im16-110.png
data/testdata/test1/imgs/16/im16-111.png,data/testdata/test1/masks/16/im16-111.png
data/testdata/test1/imgs/16/im16-112.png,data/testdata/test1/masks/16/im16-112.png
data/testdata/test1/imgs/16/im16-113.png,data/testdata/test1/masks/16/im16-113.png
data/testdata/test1/imgs/16/im16-114.png,data/testdata/test1/masks/16/im16-114.png
data/testdata/test1/imgs/16/im16-115.png,data/testdata/test1/masks/16/im16-115.png
data/testdata/test1/imgs/16/im16-116.png,data/testdata/test1/masks/16/im16-116.png
data/testdata/test1/imgs/16/im16-117.png,data/testdata/test1/masks/16/im16-117.png
data/testdata/test1/imgs/16/im16-118.png,data/testdata/test1/masks/16/im16-118.png
data/testdata/test1/imgs/16/im16-119.png,data/testdata/test1/masks/16/im16-119.png
