image,label
data/testpatches/test1cortes/imgs/16/im16-0-0.png,data/testpatches/test1cortes/masks/16/im16-0-0.png
data/testpatches/test1cortes/imgs/16/im16-0-1.png,data/testpatches/test1cortes/masks/16/im16-0-1.png
data/testpatches/test1cortes/imgs/16/im16-0-2.png,data/testpatches/test1cortes/masks/16/im16-0-2.png
data/testpatches/test1cortes/imgs/16/im16-0-3.png,data/testpatches/test1cortes/masks/16/im16-0-3.png
data/testpatches/test1cortes/imgs/16/im16-0-4.png,data/testpatches/test1cortes/masks/16/im16-0-4.png
data/testpatches/test1cortes/imgs/16/im16-0-5.png,data/testpatches/test1cortes/masks/16/im16-0-5.png
data/testpatches/test1cortes/imgs/16/im16-0-6.png,data/testpatches/test1cortes/masks/16/im16-0-6.png
data/testpatches/test1cortes/imgs/16/im16-0-7.png,data/testpatches/test1cortes/masks/16/im16-0-7.png
data/testpatches/test1cortes/imgs/16/im16-0-8.png,data/testpatches/test1cortes/masks/16/im16-0-8.png
data/testpatches/test1cortes/imgs/16/im16-1-0.png,data/testpatches/test1cortes/masks/16/im16-1-0.png
data/testpatches/test1cortes/imgs/16/im16-1-1.png,data/testpatches/test1cortes/masks/16/im16-1-1.png
data/testpatches/test1cortes/imgs/16/im16-1-2.png,data/testpatches/test1cortes/masks/16/im16-1-2.png
data/testpatches/test1cortes/imgs/16/im16-1-3.png,data/testpatches/test1cortes/masks/16/im16-1-3.png
data/testpatches/test1cortes/imgs/16/im16-1-4.png,data/testpatches/test1cortes/masks/16/im16-1-4.png
data/testpatches/test1cortes/imgs/16/im16-1-5.png,data/testpatches/test1cortes/masks/16/im16-1-5.png
data/testpatches/test1cortes/imgs/16/im16-1-6.png,data/testpatches/test1cortes/masks/16/im16-1-6.png
data/testpatches/test1cortes/imgs/16/im16-1-7.png,data/testpatches/test1cortes/masks/16/im16-1-7.png
data/testpatches/test1cortes/imgs/16/im16-1-8.png,data/testpatches/test1cortes/masks/16/im16-1-8.png
data/testpatches/test1cortes/imgs/16/im16-10-0.png,data/testpatches/test1cortes/masks/16/im16-10-0.png
data/testpatches/test1cortes/imgs/16/im16-10-1.png,data/testpatches/test1cortes/masks/16/im16-10-1.png
data/testpatches/test1cortes/imgs/16/im16-10-2.png,data/testpatches/test1cortes/masks/16/im16-10-2.png
data/testpatches/test1cortes/imgs/16/im16-10-3.png,data/testpatches/test1cortes/masks/16/im16-10-3.png
data/testpatches/test1cortes/imgs/16/im16-10-4.png,data/testpatches/test1cortes/masks/16/im16-10-4.png
data/testpatches/test1cortes/imgs/16/im16-10-5.png,data/testpatches/test1cortes/masks/16/im16-10-5.png
data/testpatches/test1cortes/imgs/16/im16-10-6.png,data/testpatches/test1cortes/masks/16/im16-10-6.png
data/testpatches/test1cortes/imgs/16/im16-10-7.png,data/testpatches/test1cortes/masks/16/im16-10-7.png
data/testpatches/test1cortes/imgs/16/im16-10-8.png,data/testpatches/test1cortes/masks/16/im16-10-8.png
data/testpatches/test1cortes/imgs/16/im16-100-0.png,data/testpatches/test1cortes/masks/16/im16-100-0.png
data/testpatches/test1cortes/imgs/16/im16-100-1.png,data/testpatches/test1cortes/masks/16/im16-100-1.png
data/testpatches/test1cortes/imgs/16/im16-100-2.png,data/testpatches/test1cortes/masks/16/im16-100-2.png
data/testpatches/test1cortes/imgs/16/im16-100-3.png,data/testpatches/test1cortes/masks/16/im16-100-3.png
data/testpatches/test1cortes/imgs/16/im16-100-4.png,data/testpatches/test1cortes/masks/16/im16-100-4.png
data/testpatches/test1cortes/imgs/16/im16-100-5.png,data/testpatches/test1cortes/masks/16/im16-100-5.png
data/testpatches/test1cortes/imgs/16/im16-100-6.png,data/testpatches/test1cortes/masks/16/im16-100-6.png
data/testpatches/test1cortes/imgs/16/im16-100-7.png,data/testpatches/test1cortes/masks/16/im16-100-7.png
data/testpatches/test1cortes/imgs/16/im16-100-8.png,data/testpatches/test1cortes/masks/16/im16-100-8.png
data/testpatches/test1cortes/imgs/16/im16-101-0.png,data/testpatches/test1cortes/masks/16/im16-101-0.png
data/testpatches/test1cortes/imgs/16/im16-101-1.png,data/testpatches/test1cortes/masks/16/im16-101-1.png
data/testpatches/test1cortes/imgs/16/im16-101-2.png,data/testpatches/test1cortes/masks/16/im16-101-2.png
data/testpatches/test1cortes/imgs/16/im16-101-3.png,data/testpatches/test1cortes/masks/16/im16-101-3.png
data/testpatches/test1cortes/imgs/16/im16-101-4.png,data/testpatches/test1cortes/masks/16/im16-101-4.png
data/testpatches/test1cortes/imgs/16/im16-101-5.png,data/testpatches/test1cortes/masks/16/im16-101-5.png
data/testpatches/test1cortes/imgs/16/im16-101-6.png,data/testpatches/test1cortes/masks/16/im16-101-6.png
data/testpatches/test1cortes/imgs/16/im16-101-7.png,data/testpatches/test1cortes/masks/16/im16-101-7.png
data/testpatches/test1cortes/imgs/16/im16-101-8.png,data/testpatches/test1cortes/masks/16/im16-101-8.png
data/testpatches/test1cortes/imgs/16/im16-102-0.png,data/testpatches/test1cortes/masks/16/im16-102-0.png
data/testpatches/test1cortes/imgs/16/im16-102-1.png,data/testpatches/test1cortes/masks/16/im16-102-1.png
data/testpatches/test1cortes/imgs/16/im16-102-2.png,data/testpatches/test1cortes/masks/16/im16-102-2.png
data/testpatches/test1cortes/imgs/16/im16-102-3.png,data/testpatches/test1cortes/masks/16/im16-102-3.png
data/testpatches/test1cortes/imgs/16/im16-102-4.png,data/testpatches/test1cortes/masks/16/im16-102-4.png
data/testpatches/test1cortes/imgs/16/im16-102-5.png,data/testpatches/test1cortes/masks/16/im16-102-5.png
